ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9727354,HX377157,01/01/2014 12:00:00 AM,097XX S AVENUE J,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,0432,004,10,52,20,1202412,1841205,2014,08/08/2014 12:34:16 PM,41.718993178,-87.534223759,"(41.718993178, -87.534223759)"
9585389,HX235443,01/01/2014 12:00:00 AM,042XX W MONROE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1115,011,28,26,11,1148063,1899282,2014,04/26/2014 12:39:40 AM,41.879577272,-87.731798796,"(41.879577272, -87.731798796)"
9712388,HX336168,01/01/2014 12:00:00 AM,050XX W CRYSTAL ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,true,2533,025,37,25,02,1142315,1907807,2014,07/28/2014 12:40:00 PM,41.903079502,-87.752693025,"(41.903079502, -87.752693025)"
9587718,HX238035,01/01/2014 12:00:00 AM,021XX W 18TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,1234,012,25,31,17,1162100,1891420,2014,05/01/2014 12:39:47 AM,41.857721673,-87.680476454,"(41.857721673, -87.680476454)"
9514509,HX169834,01/01/2014 12:00:00 AM,017XX N MANGO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,2531,025,29,25,11,1137842,1911008,2014,03/07/2014 12:40:58 AM,41.911945332,-87.769046135,"(41.911945332, -87.769046135)"
9560315,HX211834,01/01/2014 12:00:00 AM,090XX S EUCLID AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0413,004,8,48,11,1190713,1845486,2014,04/07/2014 12:40:59 AM,41.731030667,-87.576934765,"(41.731030667, -87.576934765)"
9484438,HX137933,01/01/2014 12:00:00 AM,022XX W DIVISION ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,HOSPITAL BUILDING/GROUNDS,false,false,1212,012,32,24,06,1161141,1907902,2014,02/17/2014 12:38:48 AM,41.902969704,-87.683538502,"(41.902969704, -87.683538502)"
9489606,HX141501,01/01/2014 12:00:00 AM,078XX S EUCLID AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0414,004,8,43,14,1190519,1853536,2014,02/10/2014 12:39:43 AM,41.75312529,-87.577386389,"(41.75312529, -87.577386389)"
9458567,HX111780,01/01/2014 12:00:00 AM,047XX N ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1723,017,33,14,07,1152242,1931076,2014,01/19/2014 12:40:13 AM,41.966741329,-87.715613048,"(41.966741329, -87.715613048)"
9526900,HX181401,01/01/2014 12:00:00 AM,025XX S MARY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0913,009,11,60,11,1169489,1887406,2014,03/23/2014 12:39:11 AM,41.846549538,-87.65347116,"(41.846549538, -87.65347116)"
9522866,HX178068,01/01/2014 12:00:00 AM,012XX S KEELER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1011,010,24,29,26,1148620,1894034,2014,03/15/2014 12:39:25 AM,41.865165415,-87.729889028,"(41.865165415, -87.729889028)"
9458739,HX112028,01/01/2014 12:00:00 AM,117XX S INDIANA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0532,005,9,53,26,1179641,1827135,2014,01/25/2014 12:39:51 AM,41.680932895,-87.618053436,"(41.680932895, -87.618053436)"
9456816,HX109448,01/01/2014 12:00:00 AM,032XX N NEVA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1632,016,36,17,14,1127801,1921039,2014,01/15/2014 12:39:35 AM,41.939647025,-87.805707809,"(41.939647025, -87.805707809)"
